cardIndex, vocabulary, vocaInterpret, sentence, sentenceInterpret
275, surprised, 놀란, I was surprised at the news., 나는 그 소식에 놀랐다.
276, stress, 스트레스/ 압박, I'm under a lot of stress., 나는 심한 스트레스를 받고 있다.
277, cafeteria, 카페테리아/ 구내식당, She ate lunch in the company cafeteria., 그녀는 회사 구내식당에서 점심을 먹었다.
278, talent, 재능/ 재주, My son has a talent for singing., 내 아들은 노래에 재능이 있다.
279, race, 경주, Who won the car race?, 그 자동차 경주에서 누가 이겼니?
280, normal, 보통의/ 평범한, We returned to a normal life., 우리는 평범한 생활로 돌아왔다.
281, save, (위험에서) 구하다, He saved us from a fire., 그가 화재에서 우리를 구했다.
282, shell, 껍데기/ 껍질, Take the shell off an egg., 달걀 껍데기를 벗기세요.
283, adventure, 모험, She got back safe from her adventure., 그녀는 모험에서 무사히 돌아왔다.
284, finally, 마침내/ 마지막으로, He finally finished his homework., 그는 마침내 숙제를 끝냈다.
285, toothache, 치통, I have a bad toothache., 나는 심한 치통을 앓고 있다.
286, pleasure, 즐거움/ 기쁨, She gets pleasure from playing the violin., 그녀는 바이올린 연주에서 즐거움을 얻는다.
287, sketch, 밑그림, I drew a sketch of a cat., 나는 고양이의 밑그림을 그렸다.
288, footprint, 발자국, There were no footprints in the sand., 모래 위에는 발자국 하나 남아있지 않았다.
289, outdoor, 야외의, I went to an outdoor concert yesterday., 나는 어제 야외 콘서트에 갔다.
290, sale, 판매, Ticket sales start right now., 티켓 판매가 이제 시작됩니다.
291, match, 경기/ 시합, Did you watch the tennis match?, 그 테니스 경기 봤니?
292, weekly, 매주의/ 주 1회의, Make a weekly plan first., 먼저 주간 계획을 세워라.
293, firework, 불꽃(놀이), Many people came to see the fireworks., 많은 사람들이 불꽃놀이를 보러 왔다.
294, humorous, 유머가 풍부한, Let me tell you a humorous story., 재미있는 이야기를 하나 해 줄게.
295, deeply, 대단히/ 깊이, I'm deeply sorry., 대단히 죄송합니다.
296, everywhere, 어디나/ 어디든지, I carry my cell phone everywhere., 나는 휴대전화를 어디든지 가지고 다닌다.
297, shout, 소리치다, She shouted for help., 그녀는 도와달라고 소리쳤다.
298, interview, 면접/ 인터뷰, When is your job interview?, 너의 면접이 언제니?
299, follow, 따라가다, Do not follow me., 날 따라오지 마.
300, alarm, 경보(기)/ 알람, Did you hear the fire alarm?, 화재경보기 소리 들었니?
301, unique, 독특한, This building is very unique., 이 건물은 매우 독특하다.
302, tasty, 맛있는, All of the food was tasty., 모든 음식이 맛있었다.
303, control, 통제(력), They had no control over their child., 그들은 아이를 통제하지 못했다.
304, symbol, 상징(물), The dove is a symbol of peace., 비둘기는 평화의 상징이다.
305, excited, 신이 난, I was excited to see her again., 나는 그녀를 다시 만나서 신이 났다.
306, helpful, 도움이 되는, The book was very helpful for the exam., 그 책은 시험에 큰 도움이 되었다.
307, sentence, 문장, This sentence is too hard for me., 이 문장은 나에게 너무 어렵다.
308, style, 방식, I like his style of singing., 나는 그의 노래 부르는 방식이 좋다.
309, shine, 빛나다, The moon shone in the dark., 어둠 속에서 달이 빛났다.
310, wallet, 지갑, I lost my wallet yesterday., 나는 어제 지갑을 잃어버렸다.
311, mind, 마음/ 정신, Tell me what you have in mind., 마음 속에 있는 것을 말해봐.
312, produce, 생산하다, This factory produces cheese., 이 공장은 치즈를 생산한다.
313, while, ~하는 동안, Did you call me while I was out?, 내가 없는 동안 전화했었니?
314, complete, 완벽한/ 완전한, The list is not complete yet., 그 리스트는 아직 완벽하지 않다.
315, reuse, 재사용하다, I washed the bottle and reused it., 나는 그 병을 씻어서 재사용했다.
316, worried, 걱정스러운, I'm worried about the test tomorrow., 내일 시험이 걱정된다.
317, grade, 등급, We sell the best grade of meat., 우리는 최상급 고기를 판매합니다.
318, event, 사건/ 행사, The flood was the main event of this year., 그 홍수는 올해의 주요 사건이었다.
319, vote, 투표하다, People voted for a new president., 사람들은 새로운 대통령을 뽑기 위해 투표했다.
320, gallery, 화랑, I like visiting art galleries., 나는 미술관에 가는 것을 좋아한다.
321, newborn, 갓 태어난, The nurse is holding a newborn baby., 그 간호사는 갓난아기를 안고 있다.
322, gather, 모이다, A lot of fans gathered around the actor., 많은 팬들이 그 배우 주위로 모여들었다.
323, even, ~조차(도), Even a child can answer it., 그것은 어린아이조차 대답할 수 있다.
324, illegal, 불법적인, It is illegal to copy this program., 이 프로그램을 복제하는 것은 불법이다.
325, diamond, 다이아몬드, She is wearing a diamond ring., 그녀는 다이아몬드 반지를 끼고 있다.
326, core, 핵심, That is the core of the problem., 그것이 그 문제의 핵심이다.
327, ghost, 유령, I saw a ghost in the old house., 나는 그 오래된 집에서 유령을 보았다.
328, golden, 금빛의, She has golden hair., 그녀는 금빛 머리카락을 가지고 있다.
329, field, 들판/ 벌판, Horses are eating grass in the field., 말들이 들판에서 풀을 뜯고 있다.
330, parade, 퍼레이드, We watched the parade at the festival., 우리는 축제에서 퍼레이드를 구경했다.
331, abroad, 해외에/ 해외로, My uncle lives abroad., 우리 삼촌은 해외에 산다.
332, double, 이중의, I opened the double windows., 나는 이중창을 열었다.
333, breathe, 숨 쉬다, I can't breathe through my nose., 코로 숨 쉴 수가 없다.
334, wax, 밀랍, The candle is made of wax., 그 양초는 밀랍으로 만들어졌다.
335, bolt, 볼트/ 나사, I need a nut to fit this bolt., 이 볼트에 맞는 너트 하나가 필요해.
336, sum, 금액/ 합계, He spent the sum of $500., 그는 500달러의 돈을 썼다.
337, merry, 명랑한/ 즐거운, We had a merry time at the party., 우리는 그 파티에서 즐거운 시간을 보냈다.
338, fortune, 재산/ 운, He left a large fortune to his daughter., 그는 딸에게 막대한 재산을 남겼다.
339, wrap, 포장하다, I wrapped the present in pink paper., 나는 분홍색 종이로 선물을 포장했다.
340, rude, 무례한, Don't be rude to the elderly., 어른들에게 버릇없이 굴지 마라.
341, per, 각 ~에 대해, The ticket costs $10 per person., 티켓은 1인당 10달러이다.
342, alive, 살아 있는, My grandmother is still alive., 할머니는 아직 살아 계신다.
343, imagine, 상상하다, Imagine that you can fly., 네가 하늘을 날 수 있다고 상상해봐.
344, root, 뿌리, The roots of the tree go deep., 그 나무의 뿌리는 깊이 뻗어 있다.
345, bump, 부딪치다, She bumped her head against the door., 그녀는 문에 머리를 부딪쳤다.
346, meeting, 회의, He is in a meeting right now., 그는 지금 회의 중입니다.
347, swing, 흔들다, I swung my arms from side to side., 나는 팔을 좌우로 흔들었다.
348, report, 보고서, Did you finish writing your report?, 보고서는 다 썼니?
349, million, 백만[100만], The car costs three million dollars., 그 차는 3백만 달러이다.
350, either, (둘 중) 어느 한 쪽, Either will be fine with me., 저는 어느 쪽이든 좋습니다.
351, path, 길/ 진로, They walked along the forest path., 그들은 숲 속 길을 따라 걸었다.
352, stupid, 어리석은, It was stupid of us to believe him., 그를 믿다니 우리는 정말 어리석었다.
353, mud, 진흙, He got the mud off his pants., 그는 바지에 묻은 진흙을 털어냈다.
354, upper, 위에 있는, The bedroom is on the upper floor., 침실은 위층에 있다.
355, nearly, 거의, I see him nearly every day., 나는 거의 매일 그를 본다.
356, puzzle, 퍼즐, I like crossword puzzles., 나는 크로스워드 퍼즐을 좋아한다.
357, quickly, 빨리, The clouds are moving quickly., 구름이 빨리 움직이고 있다.
358, though, 비록 ~이지만, Though she was sick/ she went to school., 몸이 아팠지만 그녀는 학교에 갔다.
359, kiss, 입맞추다, He kissed her on the cheek., 그는 그녀의 볼에 입을 맞췄다.
360, maple, 단풍나무, Maple leaves turn red in fall., 단풍잎은 가을에 붉게 물든다.
361, purse, (여성용) 지갑, She took some money out of her purse., 그녀는 지갑에서 돈을 꺼냈다.
362, excite, 들뜨게 하다, The beautiful scene excited us., 그 아름다운 장면은 우리를 들뜨게 했다.
363, dot, (동그란) 점, Put a dot on the paper., 종이에 점 하나를 찍으세요.
364, design, 디자인/ 설계, I like the design of that car., 나는 저 차의 디자인이 마음에 든다.
365, cough, 기침하다, She had a fever and coughed a lot., 그녀는 열이 있었고 기침을 많이 했다.
366, none, 아무[하나]도 ~않다, None of my friends went to his party., 내 친구들 중 아무도 그의 파티에 가지 않았다.
367, awake, 깨어 있는, I was awake until midnight., 나는 자정까지 깨어 있었다.
368, luck, 행운, Please wish me luck., 제게 행운을 빌어주세요.
369, monster, 괴물, The story is about a monster with one eye., 그 이야기는 눈이 하나인 괴물에 관한 것이다.
370, wheel, 바퀴, Most cars have four wheels., 대부분의 자동차는 바퀴가 네 개이다.
371, signal, 신호, She gave the signal to stop., 그녀는 멈추라는 신호를 주었다.
372, protect, 보호하다, Wear sunglasses to protect your eyes., 눈을 보호하기 위해 선글라스를 써라.
373, couple, 한 쌍/ 두 개, A couple of men sat behind me., 남자 두 명이 내 뒤에 앉았다.
374, volume, 음량, Can you turn up the volume of the TV?, TV 음량 좀 높여줄래?
375, gain, (노력해서) 얻다, I gained good grades in the exam., 나는 시험에서 좋은 성적을 얻었다.
376, tax, 세금, The total is $13.2 with tax., 세금 포함 총 13.2달러입니다.
377, metal, 금속, The door is made of metal., 그 문은 금속으로 만들어져 있다.
378, memo, 메모, I wrote a memo to my friend., 나는 친구에게 메모를 썼다.
379, unfair, 불공평한, It's unfair to give me such hard work., 그렇게 힘든 일을 나에게 주는 것은 불공평하다.
380, graphic, 그림[도표]의, She is a graphic designer., 그녀는 그래픽 디자이너이다.
381, poem, 시, I wrote a poem about love., 나는 사랑에 관한 시를 썼다.
382, tool, 도구/ 연장, He is working with a tool., 그는 연장을 가지고 일하고 있다.
383, beard, 턱수염, The man with the long beard is my father., 그 턱수염이 긴 남자는 우리 아빠이다.
384, rough, 거친/ 대강의, The mountain road was rough., 그 산길은 거칠었다.
385, social, 사회의, This is a serious social problem in Korea., 이것은 한국에서 심각한 사회 문제이다.
386, universe, 우주, Many scientists are studying the universe., 많은 과학자들이 우주를 연구하고 있다.
387, cooking, 요리, I like my mother's cooking., 나는 엄마의 요리를 좋아한다.
388, fake, 가짜의, The police found some fake money., 경찰이 위조 지폐를 발견했다.
389, master, 대가/ 명수, She is a master of chess., 그녀는 체스의 대가이다.
390, image, 이미지/ 인상, He is trying to change his image., 그는 자신의 이미지를 바꾸기 위해 노력하고 있다.
391, backward, 뒤쪽으로, They were walking backward., 그들은 뒤로 걷고 있었다.
392, truth, 진실, Nobody knows the truth., 아무도 진실을 모른다.
393, seed, 씨앗, I planted the apple seeds in my garden., 나는 정원에 사과 씨앗들을 심었다.
394, accident, 사고, I broke my leg in the car accident., 나는 그 자동차 사고로 다리가 부러졌다.
395, fit, 꼭 맞다, Do these shoes fit your feet?, 이 신발이 발에 맞니?
396, base, 기초/ 토대, The base of the building is very strong., 그 건물의 기초는 매우 튼튼하다.
397, pain, 통증/ 고통, I have a pain in my back., 등에 통증이 있어요.
398, huge, 거대한, That huge building is a museum., 저 큰 건물은 박물관이다.
399, forward, 앞쪽으로, She pulled the chair forward., 그녀는 의자를 앞으로 당겼다.
400, century, 1세기, The picture was painted in the 14th century., 그 그림은 14세기에 그려졌다.
401, ceiling, 천장, This room has a high ceiling., 이 방은 천장이 높다.
402, chief, 최고위의/ 우두머리, He became the chief editor., 그는 편집장이 되었다.
403, vision, 시력/ 비전, I have good vision., 나는 시력이 좋다.
404, host, 주인/ 진행자, The host gave us a friendly welcome., 그 주인은 우리를 다정하게 맞았다.
405, pimple, 여드름, I have pimples on my face., 내 얼굴에 여드름이 났다.
406, shot, (총기) 발사, He fired two shots from his gun., 그는 총을 두 발 발사했다.
407, modern, 현대의, I read a book about modern history., 나는 현대사에 관한 책을 읽었다.
408, whole, 전체의, The whole family has caught colds., 가족 모두가 감기에 걸렸다.
409, jar, 병/ 단지, Can you open this jam jar for me?, 이 잼 병 좀 열어줄래요?
410, raindrop, 빗방울, A raindrop fell on my head., 비 한 방울이 내 머리에 떨어졌다.
411, powerful, 영향력 있는, He is rich and powerful., 그는 부유하고 영향력이 있다.
412, handmade, 수제의, I bought a pair of handmade shoes., 나는 수제 구두 한 켤레를 샀다.
413, source, 원천/ 근원, The sun is a good energy source., 태양은 좋은 에너지원이다.
414, castle, 성, A castle stands on the hill., 성 하나가 언덕 위에 있다.
415, surround, 둘러싸다, The mountains surround the town., 산들이 그 마을을 둘러싸고 있다.
416, chance, 가능성/ 기회, The chance of rain is 60%., 비가 올 가능성은 60%이다.
417, aloud, 소리 내어, Read this page aloud., 이 페이지를 소리 내어 읽으세요.
418, trousers, 바지, The boy is wearing a new pair of trousers., 그 소년은 새 바지를 입고 있다.
419, sweat, 땀, I cleaned the sweat off my face., 나는 얼굴에 땀을 닦았다.
420, single, 단 하나의, We lost the game by a single point., 우리는 단 1점차로 경기에 졌다.
421, bundle, 묶음/ 다발, They sell paper in bundles., 그들은 종이를 묶음으로 판다.
422, debt, 빚/ 부채, I don't have money to pay my debt., 나는 빚을 갚을 돈이 없다.
423, bar, 막대기; 창살, There were bars on the windows., 그 창문에는 창살(들)이 있었다.
424, society, 사회/ 공동체, Children are the future of our society., 아이들은 우리 사회의 미래이다.
425, mask, 마스크/ 가면, I wore a mask because I had a cold., 나는 감기에 걸려서 마스크를 썼다.
426, quietly, 조용히, He closed the door quietly., 그는 조용히 문을 닫았다.
427, circus, 서커스, I took my son to the circus., 나는 아들을 서커스에 데려갔다.
428, bullet, 총알, His left shoulder was hit by a bullet., 그의 왼쪽 어깨가 총알에 맞았다.
429, upon, ~위에, Place the dishes upon the table., 접시들을 식탁 위에 놓아라.
430, chain, 사슬, She kept her dog on a chain., 그녀는 개를 사슬에 묶어 놓았다.
431, plenty, 많음/ 충분, I got plenty of sleep yesterday., 나는 어제 잠을 충분히 잤다.
432, heaven, 천국, They believe in God and heaven., 그들은 하느님과 천국을 믿는다.
433, chemical, 화학적인, The factory makes chemical products., 그 공장은 화학 제품을 만든다.
434, courage, 용기, I didn't have the courage to do it., 나는 그것을 할 용기가 없었다.
435, spirit, 마음/ 정신, I am still young in spirit., 나는 아직 마음은 젊다.
436, code, 암호/ 부호, We send important reports in code., 우리는 중요한 보고서는 암호화하여 보낸다.
437, fabric, 천/ 직물, These pants are made with good fabric., 이 바지는 좋은 천으로 만들어졌다.
438, minimum, 최소/ 최저, I work a minimum of eight hours a day., 나는 하루에 최소 8시간을 일한다.
439, bunch, 다발, I bought a bunch of flowers., 나는 꽃 한 다발을 샀다.
440, sour, (맛이) 신, Lemons taste sour., 레몬은 신맛이 난다.
441, wallpaper, 벽지, I chose the wallpaper for the bedroom., 나는 침실 벽지를 골랐다.
442, beyond, ~의 저편에, There is a village beyond the river., 그 강 너머에는 마을이 있다.
443, forever, 영원히, Nobody can live forever., 아무도 영원히 살지는 못한다.
444, reason, 이유/ 원인, What is the reason for your visit?, 방문한 이유가 무엇입니까?
445, schedule, 일정, I have a busy schedule today., 나는 오늘 일정이 바쁘다.
446, death, 죽음, Her death really broke my heart., 그녀의 죽음은 나를 매우 상심하게 했다.
447, such, 그러한, I didn't do such a thing., 저는 그런 행동은 하지 않았어요.
448, journey, 여행, She made a journey to Italy., 그녀는 이탈리아를 여행했다.
449, handle, (일을) 처리하다, You handled the problem well., 네가 문제를 잘 처리했구나.
450, cancer, 암, She died of cancer last year., 그녀는 작년에 암으로 죽었다.
451, worth, (~할) 가치가 있는, This book is worth reading., 이 책은 읽을 가치가 있다.
452, giant, 거인, That man is as big as a giant., 저 남자는 거인만큼 덩치가 크다.
453, frankly, 솔직히, He always speaks frankly., 그는 항상 솔직하게 말한다.
454, lawyer, 변호사, I talked to a lawyer about the matter., 나는 그 문제에 관해 변호사와 상담했다.
455, bare, 살을 드러낸, They walked around in bare feet., 그들은 맨발로 걸어 다녔다.
456, announcer, 아나운서, He is a television announcer., 그는 TV 아나운서이다.
457, gap, 갈라진 틈, I saw her through a gap in the wall., 나는 벽 틈으로 그녀를 보았다.
458, praise, 칭찬하다, We praised her cooking., 우리는 그녀의 요리를 칭찬했다.
459, patient, 환자, The nurse looked after the patient., 간호사는 그 환자를 돌보았다.
460, daytime, 낮/ 주간, I won't be home during the daytime., 나는 낮 동안 집에 없을 것이다.
461, safety, 안전, Please put on this helmet for your safety., 안전을 위해 이 헬멧을 착용해 주세요.
462, frame, 틀/ 액자, She painted the door frame., 그녀는 문틀을 페인트칠했다.
463, booth, 작은 공간/ 부스, There's a phone booth around the corner., 모퉁이에 공중전화 부스가 있다.
464, journal, 잡지/ 학술지, He is reading a medical journal., 그는 의학 학술지를 읽고 있다.
465, silence, 고요/ 정적, The doorbell broke the silence., 초인종 소리가 정적을 깼다.
466, hunger, 배고픔, The baby cried from hunger., 그 아기는 배가 고파서 울었다.
467, conduct, 수행[처리]하다, Scientists conducted a study., 과학자들이 연구를 수행했다.
468, switch, 스위치, Turn on the light switch., 전등 스위치를 켜라.
469, spaceship, 우주선, The spaceship landed on Mars., 그 우주선은 화성에 착륙했다.
470, violent, 폭력적인, There are many violent scenes in this movie., 이 영화에는 폭력적인 장면이 많다.
471, bend, 굽히다; 숙이다, She bent down and picked up the coin., 그녀는 몸을 숙여서 그 동전을 주웠다.
472, haircut, 이발, I got a haircut yesterday., 나는 어제 이발을 했다.
473, seafood, 해산물, I know a nice seafood restaurant., 괜찮은 해산물 요리 식당을 알아요.
474, enemy, 적/ 적군, The two friends became enemies., 그 두 친구는 적이 되었다.
475, pedal, (자전거) 페달, I can't reach the bicycle pedals., 자전거 페달에 발이 안 닿아.
476, therefore, 그러므로, He's only 17/ therefore he can't vote., 그는 겨우 17세이므로/ 투표할 수 없다.
477, junk, 쓸모 없는 물건, Throw away the junk in your drawer., 서랍 속의 쓸모 없는 물건은 버려라.
478, diligent, 성실한, He is a very diligent student., 그는 매우 성실한 학생이다.
479, position, 위치, Place it in a sunny position., 그것을 햇빛이 잘 드는 위치에 놓아라.
480, discuss, 논의하다, I discussed the matter with my friends., 나는 친구들과 그 문제를 논의했다.
481, boss, (직장의) 상사, The woman is my boss., 그 여자분이 제 상사예요.
482, target, 목표, My target is to score 20 goals., 내 목표는 20골을 기록하는 것이다.
483, lastly, 마지막으로, Lastly/ I'd like to thank my parents., 마지막으로 부모님께 감사드리고 싶습니다.
484, candle, 양초, She lit the candle., 그녀는 양초에 불을 붙였다.
485, instant, 즉각적인, The book was an instant success., 그 책은 즉각적인 성공을 거두었다.
486, virus, 바이러스, Colds are caused by a virus., 감기는 바이러스에 의해 발생한다.
487, deaf, 귀가 먼, He is deaf in his right ear., 그는 오른쪽 귀가 멀었다.
488, chart, 표/ 도표, See the chart on the next page., 다음 페이지의 도표를 보세요.
489, beside, ~의 옆에, He sat down beside her., 그는 그녀의 옆에 앉았다.
490, alphabet, 알파벳, There are 26 letters in the English alphabet., 영어 알파벳에는 26개의 문자가 있다.
491, honor, 경의/ 존경, I give my honor to your effort., 당신의 노력에 경의를 표합니다.
492, screen, 화면, Please look at the screen for a moment., 잠시 화면을 봐 주세요.
493, detail, 세부 사항, They told me every detail of the trip., 그들은 그 여행의 모든 세부 사항을 말해 주었다.
494, offer, 제안하다, He offered to clean the room., 그가 방을 청소하겠다고 했다.
495, aid, 도움, I can't see well without the aid of glasses., 나는 안경의 도움 없이는 잘 볼 수 없다.
496, instrument, 도구/ 악기, A pen is a writing instrument., 펜은 필기도구이다.
497, tomb, 무덤, They found paintings in the tomb., 그들은 무덤에서 그림들을 발견했다.
498, army, 군대, Her son is in the army., 그녀의 아들은 군대에 있다.
499, shore, 기슭/ 해변, We swam to the shore., 우리는 해변까지 헤엄쳐 갔다.
500, reply, 대답하다, I replied to her question., 나는 그녀의 질문에 대답했다.
501, effect, 효과/ 영향, The war had a big effect on his life., 그 전쟁은 그의 삶에 큰 영향을 미쳤다.
502, succeed, (~에) 성공하다, I succeeded in finding a job., 나는 일자리를 구하는 데 성공했다.
503, garage, 차고, She put her car in the garage., 그녀는 차를 차고에 넣었다.
504, awful, 끔찍한/ 지독한, The weather is awful today., 오늘은 날씨가 끔찍하네요.
505, habit, 습관/ 버릇, He has bad sleeping habits., 그는 잠버릇이 나쁘다.
506, divide, 나누다, Please divide this into three parts., 이것을 삼등분 해주세요.
507, extra, 추가의, I often work extra hours., 나는 종종 추가 시간을 근무한다.
508, certainly, 틀림없이, I certainly told the truth., 나는 틀림없이 진실을 말했다.
509, beg, 간청하다, We begged him to help us., 우리는 그에게 도와달라고 간청했다.
510, peace, 평화, We have lived in peace for many years., 우리는 오랜 세월 동안 평화롭게 살아왔다.
511, chore, 허드렛일, She is doing household chores., 그녀는 집안일을 하고 있다.
512, sore, 아픈/ 따가운, I can't walk because my feet are sore., 나는 발이 아파서 걸을 수가 없다.
513, narrow, (폭이) 좁은, I was walking down the narrow street., 나는 좁은 길을 걷고 있었다.
514, friendship, 교우 관계/ 우정, They formed a close friendship., 그들은 돈독한 교우 관계를 형성했다.
515, hardly, 거의 ~않다, She hardly ever goes to movies., 그녀는 거의 영화를 보러 가지 않는다.
516, trick, 속임수, That was a very dirty trick., 그것은 매우 지저분한 속임수였다.
517, wave, 파도, We played in the waves., 우리는 파도를 타며 놀았다.
518, silly, 바보 같은, She asked a silly question., 그녀는 바보 같은 질문을 했다.
519, blend, 섞다, Blend the eggs and sugar., 달걀과 설탕을 섞어라.
520, poetry, 시/ 시가, I like poetry more than novels., 나는 소설보다 시를 더 좋아한다.
521, humor, 유머, The story is full of humor., 그 이야기는 유머로 가득하다.
522, exact, 정확한, That is an exact answer., 그것은 정확한 답변이다.
523, comfort, 편안함, They want to live in comfort., 그들은 편안하게 살고 싶어한다.
524, iron, 철/ 쇠, Iron is a kind of metal., 철은 금속의 한 종류이다.
525, fault, 잘못/ 과실, It's not your fault., 그건 네 잘못이 아니야.
526, birth, 탄생/ 출생, The baby weighed 4 kg at birth., 그 아기는 태어났을 때 4kg이었다.
527, scream, 소리치다, He screamed at me to get out., 그는 내게 나가라고 소리쳤다.
528, pack, (짐을) 싸다, I packed my bag and left home., 나는 가방을 싸서 집을 떠났다.
529, peel, 껍질을 벗기다, Peel the potatoes and cut them., 감자 껍질을 벗기고 잘라라.
530, repair, 수리[수선]하다, He repaired his old clock., 그는 오래된 시계를 수리했다.
531, afraid, 두려워하는, The boy is afraid of dogs., 그 소년은 개를 무서워한다.
532, goddess, 여신, Venus is the goddess of love., 비너스는 사랑의 여신이다.
533, muscle, 근육, A massage can relax your muscles., 마사지는 근육의 긴장을 풀어줄 수 있습니다.
534, billion, 10억, Over one billion people live in China., 10억 이상의 인구가 중국에 살고 있다.
535, slice, (얇게 썬) 조각, I ate three slices of pizza., 나는 피자 세 조각을 먹었다.
536, wire, 철사, I need a tool to cut this wire., 이 철사를 자를 도구가 필요해.
537, battle, 전투, Many soldiers died in the battle., 많은 군인들이 그 전투에서 죽었다.
538, duty, 의무, He did his duty as a parent., 그는 부모로서 의무를 다했다.
539, rate, 속도/ 비율, Children grow up at different rates., 아이들은 서로 다른 속도로 자란다.
540, champion, 챔피언, He is the world swimming champion., 그는 세계 수영 챔피언이다.
541, compass, 나침반, A compass needle is pointing north., 나침반의 바늘이 북쪽을 가리키고 있다.
542, worm, 벌레, Birds are looking for worms., 새들이 벌레를 찾고 있다.
543, importance, 중요성, He stressed the importance of good health., 그는 건강의 중요성을 강조했다.
544, whenever, ~할 때마다, I listen to music whenever I have time., 나는 시간이 날 때마다 음악을 듣는다.
545, hug, 껴안다, My grandmother hugged me., 할머니는 나를 껴안았다.
546, area, 지역, It will rain in some areas., 몇몇 지역에는 비가 내리겠습니다.
547, anybody, 누구든/ 아무도, Don't tell it to anybody., 아무한테도 그것을 말하지 마라.
548, stripe, 줄무늬, He wore a white shirt with black stripes., 그는 검은색 줄무늬가 있는 흰 셔츠를 입었다.
549, fear, 공포/ 두려움, She cried out in fear., 그녀는 두려움에 소리를 질렀다.
550, product, 제품, Our new product sells well., 우리의 신제품은 잘 팔린다.
551, print, 인쇄[출판]하다, I'm printing a copy of the report., 나는 보고서 사본을 인쇄하고 있다.
